,question,answer,answer_context
3993,"Please provide contact information for the person coordinating the training (Name, Email, Phone).",liwei@medicalemail.com,"Employee: Most staff have an intermediate level of experience. The coordinator is Dr. Li Wei, who can be reached at liwei@medicalemail.com."
3994,"What type of harassment are you reporting? (e.g., Workplace, Online, Physical, Verbal)",verbal,Employee: It was verbal harassment that occurred in the workplace. There's no other details I need to provide.  
3995,Are there any additional notes or information you would like to add?,There's no other details I need to provide,Employee: It was verbal harassment that occurred in the workplace. There's no other details I need to provide.  
3996,"Have there been any previous similar incidents? (Yes/No, if yes, please describe)",No,"Employee: No, there haven't been any previous incidents. I felt upset and embarrassed by what happened."
3997,How has this incident affected you or the victim?,I felt upset and embarrassed by what happened,"Employee: No, there haven't been any previous incidents. I felt upset and embarrassed by what happened."
3998,Where did the harassment occur? (Please specify the location),the kitchen area of our office,Employee: It happened in the kitchen area of our office.
3999,When did the harassment incident occur? (Enter the date in YYYY-MM-DD format),"March 15, 2020","Employee: The date was March 15, 2020."
4000,What time did the harassment occur? (Enter the time in HH:MM format),3:30 in the afternoon,Employee: It was at 3:30 in the afternoon.
4001,"Please provide your contact information (Name, Email, Phone).",Amir Khaled,"Employee: My name is Amir Khaled, my email is akhalid@email.com and my phone number is +1-555-0345. I'm seeking an apology and harassment training."
4002,What outcome or resolution are you seeking with this report?,an apology and harassment training,"Employee: My name is Amir Khaled, my email is akhalid@email.com and my phone number is +1-555-0345. I'm seeking an apology and harassment training."
4003,Please describe the harassment incident in detail.,He yelled insults at me,Employee: He yelled insults at me.  
4004,Who was involved in the incident? (Names or descriptions of individuals),John Smith and Mary Johnson,Employee: John Smith and Mary Johnson were there.
4005,"Were there any witnesses to the incident? (Provide names or state ""None"")",John Smith and Mary Johnson were there,Employee: John Smith and Mary Johnson were there.
4006,"What is your destination location? (City, State/Province, Country)",New York City,Employee: I'll be moving to New York City in New York. I think I'll need full service packing and moving help if possible.
4007,"Do you need packing and moving services? (e.g., Full-service, Self-pack)",full service,Employee: I'll be moving to New York City in New York. I think I'll need full service packing and moving help if possible.
4008,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",3 bedroom apartment,"Employee: I'm hoping to find a 3 bedroom apartment. I'm currently located in Miami, Florida."
4009,"What is your current location? (City, State/Province, Country)","Miami, Florida","Employee: I'm hoping to find a 3 bedroom apartment. I'm currently located in Miami, Florida."
4010,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: I'm looking to relocate on June 1st, 2023."
4011,Are there any special accommodations or requirements needed for the relocation?,No other accommodations needed,Employee: No other accommodations needed. I will need to transport one vehicle though.
4012,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)",No other accommodations needed. I will need to transport one vehicle,Employee: No other accommodations needed. I will need to transport one vehicle though.
4013,How many individuals will be relocating with you? (Enter a number),3,Employee: There will be 3 of us relocating. The move is due to a job transfer opportunity.
4014,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",job transfer,Employee: There will be 3 of us relocating. The move is due to a job transfer opportunity.
4015,Is this relocation temporary or permanent?,permanent,"Employee: The relocation will be permanent. My name is Sofia Alvarez, email is salvarez@lawfirm.com."
